C03-P03,C04-P04,F03-C03,F04-C04,F07-T03,F08-T04,FP01-F03,FP01-F07,FP02-F04,FP02-F08,FZ-CZ,P03-O01,P04-O02,T03-T05,T04-T06,T05-O01,T06-O02,uid,sleep_state
9.821115,10.053783,8.753516,8.401009,6.910552,7.784139,6.687748,7.326838,8.054315,8.415215,5.0054455,7.9739423,10.056031,6.4153247,8.548802,9.002272,9.862068,0,sleep
8.006259,7.3473625,7.9329185,6.9615955,6.6906004,7.6517205,7.272821,6.4885254,6.754099,7.7397213,5.137726,8.173741,8.602663,8.683578,7.7233076,8.571005,7.809357,0,wake
5.146413,4.6094804,4.805859,4.6830835,4.4855456,4.7031384,4.7531047,4.8408747,4.949199,5.0118995,5.2875934,5.1462216,4.6952915,5.4445615,4.7115107,4.704495,4.708463,1,sleep
8.255205,7.2450304,7.7281494,6.9409504,6.987468,7.5566783,7.613176,6.155597,6.383503,6.7201037,5.367161,7.5017304,7.143754,6.9497037,7.149034,6.471369,6.972618,1,wake
4.752233,4.9166527,5.264007,4.8149347,4.5496182,4.7618847,5.2213383,4.3975635,4.790423,5.010163,4.772143,4.731906,5.0008216,4.9148874,4.807916,4.813894,4.831018,2,sleep
4.2838035,4.2838035,4.269676,4.2372932,4.356271,4.323527,4.3510714,4.2825513,4.275544,4.2580767,4.565369,4.2778363,4.3156614,4.259844,4.3120027,4.2667675,4.308499,2,wake
6.0437393,7.4267035,6.5710683,7.288925,8.050315,7.659548,8.646083,9.148195,7.442064,7.834415,5.317586,8.35253,7.271179,11.001073,9.503374,8.740596,10.648606,3,sleep
5.7371674,5.5538225,6.330737,5.6345997,6.9907207,5.5812345,6.050399,6.5224533,6.681407,6.8372054,5.4402227,5.7493114,6.2980127,5.3780193,5.374904,5.110666,5.8593607,3,wake
7.082248,7.6603355,9.596455,7.3131943,9.265419,8.668863,6.2801337,6.9739656,7.886305,9.168666,5.094848,6.5386114,7.0061374,7.633435,7.012534,7.119324,8.604488,4,sleep
8.873596,8.845234,8.966285,9.1003685,8.026203,8.840233,8.713663,8.2519865,8.851868,8.605515,5.443293,8.573761,8.914662,8.228158,8.365485,8.342331,8.658622,4,wake
13.5016575,9.0798,8.643502,9.12845,8.941358,8.492794,8.273181,8.633535,8.280922,8.229274,5.337487,10.190521,10.485345,9.732912,9.883085,10.208336,10.291941,5,sleep
